DeviceTag: Xsens DOT2,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-15 09:55:41.758,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
3406370,0.9633,-0.0651,-0.2573,0.0393,-0.1381,0.9097,0.0505,0
3406537,0.9633,-0.0650,-0.2573,0.0394,-0.1577,0.9271,0.0622,0
3406870,0.9634,-0.0649,-0.2572,0.0395,-0.1763,0.9168,0.0725,0
3407037,0.9634,-0.0648,-0.2573,0.0395,-0.1688,0.9041,0.0667,0
3407204,0.9634,-0.0647,-0.2573,0.0396,-0.1445,0.9049,0.0497,0
3409037,0.9634,-0.0636,-0.2573,0.0399,-0.1491,0.8948,0.0412,0
3409204,0.9634,-0.0635,-0.2573,0.0399,-0.1545,0.8947,0.0374,0
3409370,0.9634,-0.0634,-0.2573,0.0400,-0.1811,0.9095,0.0668,0
3409870,0.9634,-0.0631,-0.2573,0.0400,-0.1314,0.8669,0.0574,0
3410037,0.9635,-0.0629,-0.2573,0.0400,-0.1661,0.8596,0.0740,0
3410204,0.9635,-0.0628,-0.2573,0.0400,-0.1611,0.8662,0.0453,0
3410537,0.9635,-0.0625,-0.2573,0.0401,-0.1451,0.8847,0.0487,0
3410704,0.9635,-0.0624,-0.2573,0.0401,-0.1734,0.8825,0.0592,0
3411037,0.9635,-0.0622,-0.2572,0.0401,-0.1715,0.8649,0.0698,0
3411204,0.9635,-0.0620,-0.2572,0.0402,-0.1629,0.8723,0.0815,0
3411370,0.9635,-0.0619,-0.2572,0.0402,-0.1517,0.8564,0.0492,0
3412037,0.9636,-0.0613,-0.2572,0.0402,-0.1438,0.8640,0.0659,0
3412204,0.9636,-0.0612,-0.2572,0.0402,-0.1492,0.8441,0.0546,0
3412370,0.9636,-0.0610,-0.2572,0.0402,-0.1634,0.8460,0.0604,0
3412537,0.9636,-0.0609,-0.2572,0.0402,-0.1694,0.8515,0.0535,0
3412704,0.9636,-0.0607,-0.2571,0.0402,-0.1665,0.8500,0.0878,0
3412870,0.9636,-0.0606,-0.2572,0.0402,-0.1974,0.8437,0.0728,0
3413204,0.9637,-0.0603,-0.2570,0.0403,-0.1996,0.8287,0.1630,0
3413371,0.9637,-0.0601,-0.2572,0.0403,-0.1739,0.8348,0.0188,0
3413537,0.9637,-0.0600,-0.2571,0.0403,-0.0926,0.8269,0.0242,0
3414037,0.9637,-0.0595,-0.2571,0.0404,-0.0347,0.7875,-0.0410,0
3414204,0.9638,-0.0593,-0.2568,0.0403,-0.2283,0.8160,0.1892,0
3414371,0.9637,-0.0592,-0.2570,0.0404,-0.2110,0.8285,0.1009,0
3414704,0.9638,-0.0588,-0.2568,0.0403,-0.1770,0.8193,0.1385,0
3414871,0.9638,-0.0587,-0.2569,0.0403,-0.1973,0.8048,0.1144,0
3415037,0.9638,-0.0586,-0.2570,0.0403,-0.0951,0.7808,-0.0048,0
3415371,0.9639,-0.0582,-0.2569,0.0403,-0.1789,0.8108,0.1473,0
3415537,0.9638,-0.0581,-0.2569,0.0403,-0.1271,0.8000,0.0327,0
3415704,0.9639,-0.0579,-0.2568,0.0403,-0.1527,0.7870,0.0428,0
3415871,0.9639,-0.0577,-0.2568,0.0403,-0.1889,0.7965,0.1335,0
3416037,0.9639,-0.0576,-0.2569,0.0403,-0.1335,0.7980,0.0813,0
3416204,0.9639,-0.0575,-0.2568,0.0403,-0.1216,0.7711,0.0312,0
3416371,0.9639,-0.0573,-0.2568,0.0403,-0.1674,0.7916,0.0778,0
3416537,0.9639,-0.0571,-0.2568,0.0403,-0.1538,0.7803,0.0921,0
