DeviceTag: nicolashumerus_l,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.574,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22986096,0.1397,-0.6873,-0.1129,-0.7038,0.0279,-0.0022,-0.0915,0
22986263,0.1397,-0.6873,-0.1129,-0.7038,-0.0579,-0.0096,-0.1167,0
22986429,0.1397,-0.6873,-0.1128,-0.7038,0.0256,0.0040,-0.1253,0
22986596,0.1396,-0.6873,-0.1128,-0.7038,-0.0294,-0.0281,-0.0775,0
22986763,0.1396,-0.6873,-0.1128,-0.7039,0.0453,0.0134,-0.1327,0
22986929,0.1396,-0.6873,-0.1128,-0.7038,-0.0556,-0.0134,-0.0954,0
22987096,0.1395,-0.6873,-0.1127,-0.7039,0.0326,0.0049,-0.1110,0
22987263,0.1395,-0.6873,-0.1127,-0.7039,-0.0200,-0.0086,-0.0965,0
22987429,0.1395,-0.6873,-0.1127,-0.7039,0.0300,0.0148,-0.1166,0
22987596,0.1395,-0.6874,-0.1126,-0.7038,-0.0426,-0.0166,-0.0995,0
22987763,0.1394,-0.6873,-0.1126,-0.7039,0.0236,0.0120,-0.1152,0
22987929,0.1394,-0.6874,-0.1126,-0.7039,-0.0030,-0.0129,-0.0965,0
22988096,0.1394,-0.6873,-0.1125,-0.7039,0.0367,-0.0028,-0.0874,0
22988263,0.1393,-0.6874,-0.1125,-0.7039,-0.0233,-0.0104,-0.1149,0
22988429,0.1393,-0.6873,-0.1125,-0.7039,0.0224,0.0012,-0.1066,0
22988596,0.1393,-0.6874,-0.1124,-0.7039,-0.0241,-0.0027,-0.0960,0
22988763,0.1393,-0.6874,-0.1124,-0.7039,0.0164,0.0082,-0.0919,0
22988929,0.1393,-0.6874,-0.1124,-0.7039,-0.0257,-0.0101,-0.0988,0
22989096,0.1393,-0.6874,-0.1124,-0.7039,-0.0006,0.0129,-0.1005,0
22989263,0.1392,-0.6874,-0.1124,-0.7039,-0.0034,-0.0220,-0.0984,0
22989429,0.1392,-0.6874,-0.1123,-0.7039,0.0007,-0.0220,-0.1171,0
22989596,0.1391,-0.6874,-0.1123,-0.7039,0.0006,-0.0196,-0.0757,0
22989763,0.1391,-0.6874,-0.1122,-0.7040,-0.0145,-0.0321,-0.1257,0
22989929,0.1391,-0.6874,-0.1122,-0.7039,-0.0150,0.0149,-0.1049,0
22990096,0.1391,-0.6874,-0.1122,-0.7039,-0.0076,-0.0048,-0.0823,0
22990263,0.1391,-0.6875,-0.1122,-0.7039,0.0112,-0.0021,-0.0955,0
22990429,0.1390,-0.6874,-0.1121,-0.7039,-0.0152,-0.0157,-0.1146,0
22990596,0.1390,-0.6875,-0.1121,-0.7039,0.0181,-0.0024,-0.1218,0
22990763,0.1390,-0.6875,-0.1121,-0.7039,-0.0231,0.0009,-0.1098,0
22990929,0.1390,-0.6875,-0.1121,-0.7039,0.0231,0.0028,-0.0985,0
22991096,0.1390,-0.6875,-0.1121,-0.7039,-0.0335,-0.0235,-0.0905,0
22991263,0.1389,-0.6875,-0.1120,-0.7039,0.0319,0.0110,-0.1110,0
22991429,0.1389,-0.6875,-0.1120,-0.7039,-0.0383,-0.0294,-0.1196,0
22991596,0.1389,-0.6875,-0.1120,-0.7039,0.0406,0.0152,-0.1015,0
22991763,0.1390,-0.6875,-0.1120,-0.7039,-0.0350,-0.0059,-0.1098,0
22991929,0.1390,-0.6875,-0.1120,-0.7039,0.0508,0.0164,-0.1126,0
22992096,0.1389,-0.6875,-0.1120,-0.7039,-0.0430,-0.0268,-0.1018,0
22992263,0.1389,-0.6875,-0.1120,-0.7039,0.0339,-0.0004,-0.1136,0
