DeviceTag: Xsens DOT0,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.801,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22985246,0.4844,0.5030,-0.5022,0.5100,0.0064,-0.0090,-0.0620,0
22985412,0.4844,0.5030,-0.5022,0.5100,-0.0120,-0.0013,-0.0608,0
22985579,0.4844,0.5030,-0.5022,0.5100,-0.0033,-0.0063,-0.0713,0
22985746,0.4844,0.5031,-0.5022,0.5100,-0.0112,-0.0022,-0.0641,0
22985912,0.4843,0.5031,-0.5022,0.5100,0.0069,-0.0124,-0.0480,0
22986079,0.4843,0.5031,-0.5022,0.5101,-0.0033,-0.0212,-0.0934,0
22986246,0.4843,0.5031,-0.5022,0.5101,0.0100,0.0022,-0.0401,0
22986412,0.4843,0.5031,-0.5022,0.5101,-0.0166,-0.0113,-0.0577,0
22986579,0.4843,0.5031,-0.5022,0.5101,0.0002,-0.0026,-0.0807,0
22986746,0.4843,0.5031,-0.5021,0.5101,-0.0017,0.0079,-0.0443,0
22986912,0.4843,0.5031,-0.5021,0.5101,-0.0008,-0.0431,-0.0567,0
22987079,0.4843,0.5031,-0.5021,0.5101,0.0012,0.0146,-0.0557,0
22987246,0.4843,0.5032,-0.5021,0.5101,-0.0108,0.0037,-0.0613,0
22987412,0.4843,0.5031,-0.5021,0.5101,0.0051,0.0121,-0.0549,0
22987579,0.4842,0.5032,-0.5021,0.5101,0.0041,-0.0197,-0.0718,0
22987746,0.4842,0.5032,-0.5021,0.5102,-0.0022,0.0187,-0.0438,0
22987912,0.4842,0.5032,-0.5021,0.5101,-0.0111,-0.0038,-0.0690,0
22988079,0.4843,0.5031,-0.5021,0.5101,-0.0121,0.0364,-0.0664,0
22988246,0.4842,0.5031,-0.5021,0.5101,0.0089,-0.0157,-0.0692,0
22988412,0.4843,0.5031,-0.5021,0.5101,0.0146,0.0097,-0.0533,0
22988579,0.4843,0.5031,-0.5022,0.5101,0.0020,-0.0464,-0.0697,0
22988746,0.4842,0.5032,-0.5021,0.5101,0.0093,0.0183,-0.0718,0
22988912,0.4842,0.5032,-0.5021,0.5102,0.0118,-0.0192,-0.0460,0
22989079,0.4842,0.5032,-0.5021,0.5102,0.0119,0.0458,-0.0507,0
22989246,0.4842,0.5032,-0.5021,0.5102,0.0046,-0.0332,-0.0511,0
22989412,0.4842,0.5032,-0.5021,0.5102,-0.0168,0.0331,-0.0478,0
22989579,0.4842,0.5032,-0.5021,0.5102,-0.0059,-0.0315,-0.0906,0
22989746,0.4841,0.5032,-0.5020,0.5102,-0.0155,0.0436,-0.0444,0
22989912,0.4841,0.5033,-0.5020,0.5102,-0.0170,-0.0391,-0.0243,0
22990079,0.4841,0.5032,-0.5020,0.5102,0.0256,0.0426,-0.0808,0
22990246,0.4841,0.5033,-0.5020,0.5102,0.0259,-0.0699,-0.0893,0
22990412,0.4841,0.5033,-0.5020,0.5102,-0.0030,0.0524,-0.0567,0
22990579,0.4841,0.5033,-0.5020,0.5102,0.0067,-0.0621,-0.0520,0
22990746,0.4840,0.5033,-0.5020,0.5102,-0.0008,0.0523,-0.0683,0
22990913,0.4840,0.5033,-0.5020,0.5102,0.0110,-0.0456,-0.0613,0
22991079,0.4840,0.5033,-0.5020,0.5102,-0.0024,0.0390,-0.0401,0
