DeviceTag: Xsens DOT1,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-01 19:39:13.512,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
12541079,0.5422,0.0391,-0.0576,-0.8374,-1.0444,0.5879,0.2444,0
12541246,0.5424,0.0393,-0.0580,-0.8372,-1.0684,0.6058,0.2396,0
12541413,0.5427,0.0395,-0.0584,-0.8370,-1.0843,0.6016,0.2327,0
12541579,0.5430,0.0397,-0.0587,-0.8367,-1.0644,0.6125,0.2520,0
12541746,0.5433,0.0399,-0.0591,-0.8365,-1.0837,0.5938,0.2313,0
12541913,0.5435,0.0401,-0.0595,-0.8363,-1.1100,0.6014,0.2451,0
12542079,0.5438,0.0403,-0.0599,-0.8361,-1.1075,0.6251,0.2222,0
12542246,0.5442,0.0405,-0.0602,-0.8358,-1.1068,0.6216,0.2440,0
12542413,0.5445,0.0407,-0.0605,-0.8356,-1.1079,0.6243,0.2579,0
12542579,0.5448,0.0409,-0.0609,-0.8354,-1.1281,0.6236,0.2226,0
12542746,0.5451,0.0411,-0.0612,-0.8351,-1.1229,0.6319,0.2150,0
12542913,0.5454,0.0413,-0.0616,-0.8349,-1.1344,0.6348,0.2469,0
12543079,0.5456,0.0415,-0.0619,-0.8347,-1.1417,0.6319,0.2326,0
12543246,0.5459,0.0416,-0.0622,-0.8345,-1.1406,0.6342,0.2283,0
12543413,0.5460,0.0418,-0.0625,-0.8344,-1.1426,0.6227,0.2203,0
12543579,0.5464,0.0420,-0.0628,-0.8341,-1.1468,0.6276,0.2313,0
12543746,0.5464,0.0421,-0.0631,-0.8341,-1.1554,0.6478,0.2195,0
12543913,0.5467,0.0423,-0.0634,-0.8338,-1.1769,0.6507,0.2071,0
12544079,0.5471,0.0425,-0.0637,-0.8336,-1.1819,0.6499,0.2264,0
12544246,0.5474,0.0426,-0.0639,-0.8333,-1.1836,0.6643,0.2106,0
12544413,0.5477,0.0428,-0.0642,-0.8331,-1.1889,0.6509,0.2340,0
12544579,0.5480,0.0429,-0.0644,-0.8329,-1.1838,0.6677,0.2163,0
12544746,0.5483,0.0431,-0.0647,-0.8326,-1.1855,0.6613,0.2218,0
12544913,0.5486,0.0432,-0.0649,-0.8325,-1.1964,0.6665,0.2301,0
12545079,0.5487,0.0433,-0.0652,-0.8323,-1.2162,0.6672,0.2300,0
12545246,0.5489,0.0435,-0.0654,-0.8322,-1.2261,0.6683,0.2192,0
12545413,0.5493,0.0436,-0.0656,-0.8319,-1.2139,0.6760,0.2043,0
12545579,0.5495,0.0437,-0.0658,-0.8318,-1.2245,0.6808,0.2098,0
12545746,0.5497,0.0438,-0.0661,-0.8316,-1.2334,0.6733,0.2246,0
12545913,0.5499,0.0440,-0.0663,-0.8314,-1.2451,0.6682,0.2152,0
12546079,0.5502,0.0441,-0.0665,-0.8312,-1.2419,0.6830,0.2132,0
12546246,0.5504,0.0442,-0.0666,-0.8311,-1.2411,0.6804,0.2114,0
12546413,0.5506,0.0443,-0.0668,-0.8309,-1.2581,0.6887,0.2141,0
12546579,0.5510,0.0444,-0.0670,-0.8306,-1.2514,0.6653,0.2420,0
12546746,0.5512,0.0445,-0.0672,-0.8305,-1.2610,0.6876,0.2236,0
12546913,0.5514,0.0446,-0.0673,-0.8303,-1.2525,0.6808,0.1974,0
12547079,0.5516,0.0447,-0.0675,-0.8301,-1.2572,0.6886,0.2122,0
12547246,0.5521,0.0448,-0.0676,-0.8298,-1.2653,0.6842,0.2280,0
12547413,0.5522,0.0449,-0.0678,-0.8297,-1.2715,0.6953,0.2185,0
12547579,0.5525,0.0449,-0.0679,-0.8296,-1.2703,0.6982,0.2031,0
12547746,0.5527,0.0450,-0.0680,-0.8294,-1.2636,0.6865,0.2045,0
12547913,0.5530,0.0451,-0.0681,-0.8292,-1.2941,0.6942,0.2196,0
12548079,0.5530,0.0451,-0.0683,-0.8292,-1.2809,0.6937,0.2004,0
12548246,0.5532,0.0452,-0.0684,-0.8290,-1.2779,0.6925,0.1888,0
12548413,0.5535,0.0453,-0.0685,-0.8288,-1.2775,0.6913,0.2192,0
12548580,0.5537,0.0453,-0.0685,-0.8287,-1.2896,0.7044,0.2118,0
12548746,0.5540,0.0454,-0.0686,-0.8285,-1.3017,0.6870,0.2237,0
12548913,0.5541,0.0454,-0.0687,-0.8283,-1.2851,0.6886,0.2125,0
12549080,0.5546,0.0455,-0.0688,-0.8280,-1.2877,0.6879,0.1834,0
12549246,0.5547,0.0455,-0.0688,-0.8279,-1.2953,0.6810,0.1916,0
12549413,0.5549,0.0455,-0.0689,-0.8278,-1.2936,0.6996,0.2191,0
12549580,0.5550,0.0456,-0.0689,-0.8277,-1.2904,0.7027,0.1913,0
12549746,0.5554,0.0456,-0.0690,-0.8275,-1.3038,0.6900,0.2170,0
12549913,0.5554,0.0456,-0.0690,-0.8275,-1.3012,0.6986,0.2269,0
12550080,0.5555,0.0456,-0.0691,-0.8274,-1.2990,0.7080,0.2137,0
12550246,0.5559,0.0457,-0.0691,-0.8271,-1.2982,0.6973,0.1843,0
12550413,0.5560,0.0457,-0.0691,-0.8271,-1.3031,0.6933,0.1946,0
12550580,0.5561,0.0457,-0.0692,-0.8270,-1.3048,0.6908,0.2160,0
12550746,0.5562,0.0457,-0.0692,-0.8269,-1.2966,0.6843,0.1978,0
12550913,0.5565,0.0457,-0.0692,-0.8267,-1.2948,0.6971,0.2201,0
12551080,0.5566,0.0456,-0.0692,-0.8266,-1.3020,0.6913,0.2082,0
12551246,0.5567,0.0456,-0.0692,-0.8266,-1.3217,0.6979,0.1934,0
12551413,0.5569,0.0456,-0.0692,-0.8265,-1.3070,0.6983,0.1785,0
12551580,0.5571,0.0456,-0.0692,-0.8263,-1.3214,0.6953,0.2101,0
12551746,0.5571,0.0456,-0.0691,-0.8263,-1.3037,0.6964,0.2028,0
12551913,0.5573,0.0456,-0.0691,-0.8262,-1.3082,0.6858,0.2031,0
12552080,0.5574,0.0456,-0.0691,-0.8261,-1.3158,0.6999,0.1999,0
12552246,0.5576,0.0456,-0.0691,-0.8260,-1.2964,0.7077,0.2069,0
12552413,0.5576,0.0455,-0.0690,-0.8260,-1.2996,0.6874,0.2011,0
12552580,0.5578,0.0455,-0.0690,-0.8258,-1.2919,0.6944,0.2007,0
12552746,0.5582,0.0455,-0.0689,-0.8256,-1.3035,0.6981,0.1969,0
12552913,0.5582,0.0455,-0.0689,-0.8256,-1.3099,0.6954,0.1841,0
12553080,0.5584,0.0454,-0.0688,-0.8255,-1.2950,0.6945,0.2022,0
12553246,0.5585,0.0454,-0.0687,-0.8254,-1.3026,0.6852,0.2157,0
12553413,0.5588,0.0453,-0.0687,-0.8252,-1.2910,0.6852,0.1987,0
12553580,0.5588,0.0453,-0.0686,-0.8252,-1.2951,0.6853,0.2091,0
12553746,0.5589,0.0452,-0.0685,-0.8251,-1.2948,0.6853,0.1934,0
12553913,0.5591,0.0452,-0.0684,-0.8251,-1.3004,0.6822,0.2000,0
12554080,0.5592,0.0451,-0.0683,-0.8250,-1.3010,0.6699,0.2191,0
12554246,0.5593,0.0451,-0.0682,-0.8249,-1.2961,0.6785,0.1905,0
12554413,0.5592,0.0450,-0.0681,-0.8250,-1.2772,0.6712,0.2222,0
12554580,0.5594,0.0449,-0.0680,-0.8249,-1.2911,0.6660,0.2096,0
12554746,0.5594,0.0449,-0.0679,-0.8249,-1.2814,0.6727,0.2068,0
12554913,0.5594,0.0448,-0.0678,-0.8249,-1.2941,0.6731,0.2018,0
12555080,0.5594,0.0447,-0.0677,-0.8249,-1.2925,0.6808,0.1940,0
12555246,0.5596,0.0446,-0.0676,-0.8248,-1.2831,0.6782,0.2002,0
12555413,0.5595,0.0445,-0.0675,-0.8249,-1.2636,0.6829,0.2012,0
12555580,0.5596,0.0445,-0.0673,-0.8248,-1.2651,0.6625,0.2290,0
12555746,0.5597,0.0444,-0.0672,-0.8248,-1.2795,0.6663,0.2205,0
12555913,0.5598,0.0443,-0.0671,-0.8247,-1.2801,0.6770,0.1982,0
12556080,0.5598,0.0442,-0.0670,-0.8247,-1.2747,0.6728,0.1995,0
12556246,0.5599,0.0441,-0.0668,-0.8247,-1.2633,0.6739,0.2116,0
12556413,0.5600,0.0440,-0.0667,-0.8246,-1.2502,0.6758,0.2138,0
12556580,0.5601,0.0439,-0.0665,-0.8246,-1.2617,0.6837,0.2286,0
12556746,0.5601,0.0438,-0.0664,-0.8246,-1.2619,0.6716,0.2350,0
12556913,0.5601,0.0437,-0.0662,-0.8246,-1.2554,0.6657,0.1944,0
12557080,0.5603,0.0436,-0.0661,-0.8245,-1.2520,0.6558,0.2003,0
12557246,0.5603,0.0435,-0.0659,-0.8245,-1.2403,0.6727,0.2395,0
12557413,0.5603,0.0434,-0.0657,-0.8245,-1.2426,0.6670,0.2361,0
12557580,0.5603,0.0433,-0.0656,-0.8245,-1.2391,0.6621,0.2236,0
12557746,0.5604,0.0432,-0.0654,-0.8245,-1.2259,0.6619,0.2019,0
12557913,0.5604,0.0431,-0.0653,-0.8245,-1.2259,0.6473,0.2317,0
12558080,0.5604,0.0430,-0.0651,-0.8246,-1.2123,0.6522,0.2255,0
12558246,0.5605,0.0429,-0.0649,-0.8245,-1.2110,0.6535,0.2088,0
12558413,0.5604,0.0427,-0.0648,-0.8246,-1.1993,0.6511,0.2242,0
12558580,0.5604,0.0426,-0.0646,-0.8246,-1.2086,0.6552,0.2018,0
12558746,0.5603,0.0425,-0.0644,-0.8247,-1.2142,0.6587,0.2104,0
12558913,0.5604,0.0424,-0.0642,-0.8246,-1.2254,0.6478,0.2351,0
12559080,0.5604,0.0423,-0.0640,-0.8247,-1.2112,0.6430,0.2079,0
12559246,0.5604,0.0422,-0.0638,-0.8247,-1.1831,0.6460,0.2421,0
12559413,0.5604,0.0420,-0.0636,-0.8247,-1.1709,0.6342,0.2082,0
12559580,0.5605,0.0419,-0.0635,-0.8247,-1.1801,0.6458,0.2407,0
12559746,0.5604,0.0418,-0.0633,-0.8247,-1.2060,0.6319,0.2244,0
12559913,0.5603,0.0417,-0.0631,-0.8248,-1.1947,0.6396,0.2467,0
12560080,0.5605,0.0415,-0.0629,-0.8247,-1.1719,0.6520,0.2370,0
12560246,0.5604,0.0414,-0.0627,-0.8248,-1.1543,0.6304,0.2269,0
12560413,0.5604,0.0413,-0.0625,-0.8248,-1.1770,0.6454,0.2275,0
12560580,0.5603,0.0412,-0.0623,-0.8249,-1.1293,0.6138,0.2556,0
12560746,0.5604,0.0410,-0.0621,-0.8249,-1.1468,0.6563,0.1287,0
12560913,0.5603,0.0409,-0.0619,-0.8250,-1.1807,0.6059,0.3198,0
12561080,0.5603,0.0408,-0.0616,-0.8250,-1.1504,0.6160,0.1812,0
12561246,0.5602,0.0407,-0.0614,-0.8251,-1.1227,0.6597,0.2783,0
12561413,0.5602,0.0405,-0.0612,-0.8251,-1.1240,0.6002,0.2184,0
12561580,0.5601,0.0404,-0.0610,-0.8252,-1.1250,0.6326,0.1936,0
12561746,0.5601,0.0402,-0.0608,-0.8252,-1.1476,0.6308,0.2398,0
12561913,0.5601,0.0401,-0.0606,-0.8252,-1.1391,0.6135,0.2060,0
12562080,0.5600,0.0400,-0.0604,-0.8253,-1.1013,0.6337,0.2235,0
12562246,0.5600,0.0398,-0.0602,-0.8254,-1.1032,0.5933,0.2261,0
12562413,0.5599,0.0397,-0.0600,-0.8255,-1.1015,0.6309,0.2419,0
12562580,0.5598,0.0396,-0.0598,-0.8255,-1.1103,0.5929,0.2579,0
12562746,0.5597,0.0394,-0.0595,-0.8256,-1.0948,0.6047,0.2373,0
12562913,0.5597,0.0393,-0.0593,-0.8257,-1.0895,0.6080,0.2267,0
12563080,0.5596,0.0391,-0.0591,-0.8257,-1.0975,0.5825,0.2329,0
12563246,0.5596,0.0390,-0.0589,-0.8258,-1.0743,0.6051,0.2643,0
12563413,0.5595,0.0388,-0.0587,-0.8258,-1.0744,0.6005,0.2056,0
12563580,0.5594,0.0387,-0.0585,-0.8259,-1.0733,0.6073,0.2288,0
12563746,0.5594,0.0385,-0.0583,-0.8260,-1.0644,0.5690,0.2434,0
12563913,0.5592,0.0384,-0.0581,-0.8261,-1.0575,0.6008,0.2192,0
12564080,0.5591,0.0383,-0.0579,-0.8262,-1.0660,0.5934,0.2367,0
12564246,0.5590,0.0381,-0.0576,-0.8263,-1.0580,0.5868,0.2556,0
12564413,0.5591,0.0379,-0.0575,-0.8263,-1.0572,0.6123,0.2287,0
12564580,0.5590,0.0378,-0.0572,-0.8264,-1.0553,0.5633,0.3125,0
12564746,0.5588,0.0376,-0.0570,-0.8265,-1.0362,0.5776,0.2037,0
12564913,0.5588,0.0375,-0.0568,-0.8265,-1.0388,0.5829,0.3054,0
12565080,0.5587,0.0374,-0.0566,-0.8266,-1.0350,0.5768,0.2037,0
12565247,0.5586,0.0372,-0.0563,-0.8267,-1.0221,0.5868,0.2613,0
12565413,0.5584,0.0371,-0.0561,-0.8268,-1.0176,0.5747,0.1904,0
12565580,0.5584,0.0370,-0.0559,-0.8269,-1.0389,0.5763,0.2583,0
12565747,0.5583,0.0368,-0.0556,-0.8270,-1.0335,0.5735,0.2220,0
12565913,0.5582,0.0367,-0.0554,-0.8271,-0.9919,0.5802,0.2516,0
12566080,0.5580,0.0365,-0.0552,-0.8272,-0.9887,0.5622,0.2588,0
12566247,0.5580,0.0364,-0.0550,-0.8272,-0.9737,0.5799,0.2317,0
12566413,0.5578,0.0362,-0.0548,-0.8274,-1.0085,0.5671,0.2653,0
12566580,0.5577,0.0361,-0.0545,-0.8275,-0.9828,0.5665,0.2258,0
12566747,0.5576,0.0359,-0.0543,-0.8276,-0.9765,0.5625,0.2227,0
12566913,0.5574,0.0358,-0.0541,-0.8277,-0.9882,0.5524,0.2998,0
12567080,0.5573,0.0357,-0.0539,-0.8278,-0.9811,0.5689,0.2027,0
