PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
82, 1290828376, 0.73375595, 0.5794564, -0.0058867508, 0.35468015, -0.6468608, -0.35443255, 0.22579479, 0
83, 1290845043, 0.72994256, 0.5775323, -0.018215738, 0.3651147, -0.29367104, -0.3970368, -0.19467926, 0
84, 1290861710, 0.72560894, 0.57592565, -0.029995149, 0.37536865, -0.33536807, -0.40723747, -0.11743069, 0
85, 1290878377, 0.72122526, 0.57396924, -0.041770592, 0.38554975, -0.6203496, -0.56924725, -0.026771545, 0
86, 1290895044, 0.71674657, 0.5717028, -0.053785045, 0.3956484, -0.799454, -0.7797951, -0.118582726, 0
87, 1290911711, 0.71221304, 0.5690028, -0.06620066, 0.40571645, -0.89227736, -0.6700999, -0.09282017, 0
88, 1290928378, 0.7078073, 0.565664, -0.07894346, 0.41569352, -0.8407545, -0.59269065, -0.26046562, 0
89, 1290945045, 0.70291644, 0.5623428, -0.091594845, 0.42578116, -0.5598242, -0.5699625, -0.52907944, 0
90, 1290961712, 0.69741905, 0.5592671, -0.10392465, 0.43592063, -0.07213311, -0.25079426, -0.71645164, 0
91, 1290978379, 0.6907396, 0.5572888, -0.11506081, 0.44617158, -0.13335314, -0.16942774, -0.64013195, 0
92, 1290995046, 0.6838042, 0.5550205, -0.12585984, 0.45664358, -0.33421522, -0.43785205, -0.38619995, 0
93, 1291011713, 0.67744297, 0.55161035, -0.13731518, 0.46684235, -0.30103877, -0.26197037, -0.53692436, 0
94, 1291028380, 0.6710999, 0.5477837, -0.1486064, 0.4769426, -0.059489537, -0.49854633, -0.3543911, 0
95, 1291045047, 0.6658473, 0.5425123, -0.16026306, 0.4864603, 0.729277, -0.26823545, -0.6545048, 0
96, 1291061714, 0.6606802, 0.5374578, -0.17107533, 0.49535266, 1.5187702, -0.17428245, -1.1375628, 0
97, 1291078381, 0.65462, 0.53389776, -0.18029027, 0.5039059, 1.3049597, -0.022741325, -1.2201662, 0
98, 1291095048, 0.64825034, 0.5310905, -0.1884152, 0.5120686, 0.4713678, -0.23474114, -0.70644283, 0
99, 1291111715, 0.6433477, 0.5265849, -0.19731791, 0.51949745, 0.82170916, -0.10773637, -0.8599453, 0
100, 1291128382, 0.63716453, 0.5238436, -0.20408127, 0.52721924, 0.6111559, -0.16341077, -0.9668169, 0
101, 1291145049, 0.63135964, 0.52055526, -0.21099395, 0.5346858, 0.412025, -0.2972331, -0.54782104, 0
102, 1291161716, 0.62609535, 0.5164941, -0.2181737, 0.54188466, 0.8284255, -0.18978642, -0.5375738, 0
103, 1291178383, 0.6201352, 0.51366806, -0.2239412, 0.5490245, 0.17047445, 0.018392658, -0.80916405, 0
104, 1291195050, 0.61436987, 0.5103153, -0.23010173, 0.5560407, -0.1450171, -0.6454279, -0.28858948, 0
105, 1291211717, 0.60993004, 0.5052645, -0.23759334, 0.5623545, 0.84689844, -0.24404664, -0.5211096, 0
106, 1291228384, 0.60468507, 0.50180686, -0.2432101, 0.5686781, 0.5968641, -0.18313043, -0.7368612, 0
107, 1291245051, 0.59958667, 0.4982796, -0.24873209, 0.57475704, -0.21173069, -0.45713383, -0.70195293, 0
108, 1291261718, 0.5935752, 0.4954495, -0.2532204, 0.5814446, -1.2100106, -0.46484616, -0.66210556, 0
109, 1291278385, 0.5882525, 0.49103647, -0.2593265, 0.5878709, -0.541007, -0.5430417, -0.30311203, 0
110, 1291295052, 0.5815946, 0.4874214, -0.26433095, 0.5952289, -0.22162382, -0.37032655, -0.51105785, 0
111, 1291311719, 0.5754563, 0.48289856, -0.27017438, 0.6022167, -0.36127672, -0.48236308, -0.2203579, 0
112, 1291328386, 0.57047606, 0.47699726, -0.27727216, 0.6084003, 0.052297004, -0.3212822, -0.43830585, 0
113, 1291345053, 0.5650701, 0.4715828, -0.28359914, 0.61471695, 0.017038615, -0.424279, -0.71566296, 0
114, 1291361720, 0.5587097, 0.46697903, -0.28882244, 0.6215753, -0.7137266, -0.30040276, -0.72522545, 0
115, 1291378387, 0.55226034, 0.4619245, -0.2944204, 0.6284513, -0.39513537, -0.65657645, -0.3303671, 0
116, 1291395054, 0.5452549, 0.457026, -0.29940027, 0.6357548, -0.10138413, -0.3943164, -0.34535503, 0
117, 1291411721, 0.5386463, 0.45160174, -0.30490845, 0.6426096, 0.10369895, -0.31184685, -0.24964428, 0
118, 1291428388, 0.53223443, 0.44566742, -0.31103566, 0.6491255, 0.21430445, -0.40962034, -0.27491665, 0
119, 1291445055, 0.52658325, 0.43891853, -0.3181057, 0.6548814, 0.70296603, -0.26398087, -0.2941904, 0
120, 1291461722, 0.520826, 0.4324846, -0.32474327, 0.660484, 1.6647329, -0.08695906, -0.09575939, 0
121, 1291478389, 0.5149648, 0.42694238, -0.33020344, 0.6659559, 2.6635454, 0.07963018, 0.119916916, 0
122, 1291495056, 0.5095515, 0.42245567, -0.33451036, 0.670814, 3.2722518, -0.0019726136, 0.14272308, 0
123, 1291511723, 0.50532204, 0.41855305, -0.33863497, 0.67438066, 3.5370762, -0.03687807, 0.3752737, 0
124, 1291528390, 0.5031368, 0.41464564, -0.34298465, 0.67622787, 3.83872, 0.43107748, 0.4808855, 0
125, 1291545057, 0.502707, 0.41157773, -0.34696686, 0.67639023, 4.020402, 0.4192695, 0.47401237, 0
126, 1291561724, 0.5039251, 0.40957, -0.35012063, 0.67507607, 4.270075, 0.52173656, 0.50525093, 0
127, 1291578391, 0.50598025, 0.4095085, -0.35100996, 0.67311126, 4.245538, 0.62106717, 0.3925209, 0
128, 1291595058, 0.50829244, 0.41128188, -0.34967667, 0.67097867, 3.604197, 0.500727, 0.18483448, 0
129, 1291611725, 0.5112655, 0.41405588, -0.3471992, 0.66829497, 2.6643512, 0.31954363, 0.017539024, 0
130, 1291628392, 0.515051, 0.41721487, -0.3442005, 0.66496646, 1.7114171, 0.16519575, -0.1165514, 0
131, 1291645059, 0.5198866, 0.4200988, -0.34157673, 0.6607273, 1.3446761, 0.110231005, -0.057297707, 0
132, 1291661726, 0.5252324, 0.42301294, -0.33860826, 0.6561521, 1.4311845, 0.41394174, -0.16687107, 0
133, 1291678393, 0.5303227, 0.42656603, -0.33478668, 0.6517034, 1.3482955, 0.39901266, -0.25348663, 0
134, 1291695060, 0.53561467, 0.43011114, -0.33077973, 0.6470752, 1.3861915, 0.3482115, -0.1579752, 0
135, 1291711727, 0.5410401, 0.43407595, -0.32592297, 0.6423613, 1.4135265, 0.22757664, -0.31433678, 0
136, 1291728394, 0.54677397, 0.43838438, -0.32068053, 0.63719815, 1.4198995, 0.124056175, -0.36012173, 0
137, 1291745061, 0.55275273, 0.4430722, -0.31494787, 0.6316323, 1.3841151, 0.16986269, -0.505682, 0
138, 1291761728, 0.5585016, 0.44846883, -0.30832043, 0.6260114, 1.042836, -0.12001997, -0.4784069, 0
139, 1291778395, 0.5648381, 0.45345387, -0.3019058, 0.6198311, 0.99456245, -0.22663297, -0.2725811, 0
140, 1291795062, 0.5717106, 0.4580952, -0.2955611, 0.61313903, 1.2267857, -0.23246041, -0.25954628, 0
