PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
108, 1291145049, 0.8775665, 0.025528906, -0.46281615, -0.12259016, 0.22935693, 0.11549631, 0.040668488, 0
109, 1291161716, 0.8779873, 0.026200537, -0.46196285, -0.12265387, 0.20357858, 0.17713268, 0.14869022, 0
110, 1291178383, 0.87837267, 0.02663916, -0.46117306, -0.122773126, 0.2578897, -0.050963342, 0.23609638, 0
111, 1291195050, 0.87861824, 0.027324224, -0.46075028, -0.12245182, 0.20048709, -0.060723834, 0.10811424, 0
112, 1291211717, 0.8788806, 0.028009487, -0.4602938, -0.122130126, 0.25841048, 0.028313728, 0.03154564, 0
113, 1291228384, 0.8791062, 0.028735735, -0.45988762, -0.12186757, 0.25049722, 0.011730254, 0.2173996, 0
114, 1291245051, 0.8792992, 0.029550066, -0.4596032, -0.121353075, 0.15386543, 0.068264715, 0.2408905, 0
115, 1291261718, 0.87947345, 0.03059204, -0.4593628, -0.120740324, 0.06324478, 0.23317188, 0.09047794, 0
116, 1291278385, 0.879749, 0.031055009, -0.45884696, -0.12057611, 0.22922818, 0.19939314, 0.0052700043, 0
117, 1291295052, 0.87987477, 0.031573813, -0.4586371, -0.12032187, 0.2253556, -0.004119693, 0.07489109, 0
118, 1291311719, 0.8799298, 0.032175273, -0.4586179, -0.11983224, 0.29001075, 0.019403677, 0.021570206, 0
119, 1291328386, 0.8799505, 0.03265493, -0.45865765, -0.119396746, 0.27952486, 0.045552038, 0.09454155, 0
120, 1291345053, 0.8799485, 0.0330211, -0.45871514, -0.11908994, 0.23059966, 0.08165854, 0.19533443, 0
121, 1291361720, 0.8798862, 0.033420786, -0.45894924, -0.118535876, 0.09741544, 0.121794485, 0.37376404, 0
122, 1291378387, 0.8799612, 0.03353025, -0.45886824, -0.11826118, 0.2405661, 0.10965764, 0.18741131, 0
123, 1291395054, 0.8799279, 0.034182325, -0.45905516, -0.11759634, 0.18713756, 0.17254157, 0.20048809, 0
124, 1291411721, 0.8800386, 0.033991538, -0.45883977, -0.117662385, 0.24915123, 0.1872978, 0.11933613, 0
125, 1291428388, 0.8801196, 0.03402341, -0.45868036, -0.11766924, 0.25455263, -0.009431409, 0.08149719, 0
126, 1291445055, 0.8801886, 0.034098517, -0.45858014, -0.11752257, 0.22848746, 0.03707623, 0.14289379, 0
127, 1291461722, 0.8803893, 0.034067526, -0.4582202, -0.11743136, 0.33708927, 0.006317929, 0.047110558, 0
128, 1291478389, 0.8805848, 0.033852983, -0.457844, -0.117495164, 0.40168318, 0.04058699, 0.14120197, 0
129, 1291495056, 0.8808411, 0.03359634, -0.45738187, -0.11744723, 0.41145238, -0.04201343, 0.12283802, 0
130, 1291511723, 0.88106334, 0.03355878, -0.4569474, -0.117482, 0.39456564, -0.057913687, 0.13079071, 0
131, 1291528390, 0.8812534, 0.033259965, -0.45654795, -0.117694855, 0.38253036, 0.0024150715, 0.24060726, 0
132, 1291545057, 0.88137597, 0.033081196, -0.45627022, -0.11790342, 0.34357116, 0.017278124, 0.21303177, 0
133, 1291561724, 0.8815164, 0.032845248, -0.45595196, -0.11815154, 0.2980098, 0.13329671, 0.25052834, 0
134, 1291578391, 0.88155895, 0.03256719, -0.4557787, -0.118578784, 0.23769039, 0.033424743, 0.20572567, 0
135, 1291595058, 0.8816346, 0.032667812, -0.4556113, -0.11863132, 0.20561583, 0.002910446, 0.20005894, 0
136, 1291611725, 0.8816984, 0.03288624, -0.45546937, -0.11864219, 0.1672534, 0.03615381, 0.20635891, 0
137, 1291628392, 0.8817828, 0.03306341, -0.4553091, -0.11857994, 0.018916795, 0.25218803, 0.2716112, 0
138, 1291645059, 0.88183254, 0.032733403, -0.45505798, -0.1192649, 0.11050436, 0.12387875, 0.09276581, 0
139, 1291661726, 0.8820173, 0.03309109, -0.4548721, -0.11850549, 0.16277242, 0.06793827, 0.15147781, 0
140, 1291678393, 0.8820831, 0.033036258, -0.45476753, -0.118431926, 0.18413176, 0.03700968, 0.06791878, 0
141, 1291695060, 0.88211936, 0.032970816, -0.45471585, -0.118378766, 0.2118259, 0.017294176, 0.126894, 0
142, 1291711727, 0.8821713, 0.032827236, -0.4547126, -0.11804432, 0.15118639, 0.14496133, 0.2289238, 0
143, 1291728394, 0.88222915, 0.03217502, -0.45455492, -0.118398786, 0.20316389, 0.1378926, 0.18658829, 0
144, 1291745061, 0.8822984, 0.03178057, -0.4544588, -0.11835644, 0.19566861, 0.0014720564, 0.17279053, 0
145, 1291761728, 0.8822909, 0.031462394, -0.45449153, -0.11837299, 0.20704274, -0.08490222, 0.071183205, 0
146, 1291778395, 0.8822622, 0.031457085, -0.45468086, -0.11786024, 0.14808583, 0.061039977, 0.153409, 0
147, 1291795062, 0.8822824, 0.03126646, -0.45472196, -0.11760091, 0.18880005, 0.099166326, 0.1854868, 0
148, 1291811729, 0.8822711, 0.03105915, -0.45478827, -0.1174842, 0.2528486, -0.050276738, 0.25452423, 0
149, 1291828396, 0.8822409, 0.030926613, -0.45493713, -0.11716831, 0.18044458, 0.0419928, 0.22754002, 0
150, 1291845063, 0.88220495, 0.031186994, -0.4551278, -0.11662908, 0.14310461, 0.055925373, 0.11912155, 0
151, 1291861730, 0.8821448, 0.031230323, -0.45534614, -0.11622007, 0.16928513, 0.058434263, 0.106188774, 0
152, 1291878397, 0.88212156, 0.03134855, -0.4555364, -0.115617916, 0.2145796, 0.07371323, 0.124103546, 0
153, 1291895064, 0.8820959, 0.031402327, -0.4557026, -0.11514255, 0.22214863, 0.08737528, 0.21213722, 0
154, 1291911731, 0.88199013, 0.031194288, -0.45597962, -0.114910655, 0.14193788, 0.074151486, 0.28534222, 0
155, 1291928398, 0.88194114, 0.031077841, -0.45616308, -0.11459014, 0.18955731, -0.02337662, 0.19996834, 0
156, 1291945065, 0.8819187, 0.030874943, -0.45629886, -0.11427829, 0.23270604, -0.022458721, 0.14567375, 0
157, 1291961732, 0.88179475, 0.030613407, -0.45661548, -0.11403886, 0.18820283, 0.106587686, 0.2288065, 0
158, 1291978399, 0.8816531, 0.030277114, -0.45682797, -0.114372544, 0.31189668, 0.035805155, 0.27566433, 0
159, 1291995066, 0.8816478, 0.030286074, -0.4569476, -0.11393221, 0.27063844, -0.0049891584, 0.24702644, 0
160, 1292011733, 0.8814686, 0.029933527, -0.45720482, -0.11437814, 0.2744158, -0.07724402, 0.07700634, 0
161, 1292028400, 0.8813536, 0.030098144, -0.4575013, -0.11403498, 0.1514953, 0.066270806, 0.0947752, 0
162, 1292045067, 0.881177, 0.030195428, -0.45792982, -0.11365441, 0.1458887, 0.073626325, 0.07796478, 0
163, 1292061734, 0.88106763, 0.030260129, -0.45823568, -0.113251284, 0.2722151, -0.016772943, 0.12857246, 0
