Coordinates
nRows=620
nColumns=12
endheader
Quat_W_x	Quat_X_x	Quat_Y_x	Quat_Z_x	Quat_W_y	Quat_X_y	Quat_Y_y	Quat_Z_y	Quat_W	Quat_X	Quat_Y	Quat_Z
0.11012084	0.44526312	-0.2912872	0.8395044	0.8724496	-0.031240623	-0.46494797	-0.14724477	0.7546294	0.6034298	0.18960464	0.17451978
0.110747986	0.44412354	-0.2943865	0.8389445	0.8735149	-0.022741275	-0.46436036	-0.14431214	0.753902	0.6039808	0.1903523	0.17494324
0.11258657	0.44232523	-0.29756778	0.8385274	0.8754054	-0.017809223	-0.4610039	-0.14430949	0.75312436	0.604715	0.19059981	0.17548645
0.11439078	0.44088757	-0.3021172	0.8374127	0.8768543	-0.0145780835	-0.4583109	-0.14445391	0.75279486	0.60486823	0.19050904	0.17646702
0.116231345	0.4399743	-0.30793008	0.8355201	0.8765892	-0.010100802	-0.4594147	-0.14293054	0.7540016	0.60305357	0.18991204	0.17816119
0.11851959	0.4386353	-0.31344816	0.8338492	0.87456936	-0.0044462737	-0.4640473	-0.14060733	0.75473434	0.6018394	0.18913542	0.17998134
0.120690405	0.43729877	-0.31692377	0.83292556	0.8718881	-0.0005194377	-0.46935534	-0.13970773	0.7542553	0.60221636	0.18812315	0.18178096
0.122369915	0.4363152	-0.31860116	0.83255637	0.87044674	-0.0032764487	-0.4711792	-0.14249091	0.75402296	0.60231966	0.18630123	0.18426186
0.123400874	0.43545654	-0.31966978	0.8324442	0.86899287	-0.00542082	-0.47325498	-0.14440733	0.75537735	0.6004493	0.18322775	0.1878656
0.12397709	0.43471822	-0.3217864	0.8319287	0.8679325	-0.0044781705	-0.47513536	-0.14464271	0.7573791	0.5977612	0.1792479	0.19216862
0.12427114	0.4336394	-0.32442066	0.8314246	0.86679566	-0.004783637	-0.47725764	-0.14446229	0.759112	0.59538364	0.17452155	0.19700196
0.124707885	0.43190134	-0.32635948	0.8315052	0.8654746	-0.0049154544	-0.47962898	-0.14452438	0.7602093	0.59376484	0.1694676	0.20200455
0.125531	0.43014845	-0.3276283	0.8317908	0.8647004	-0.0055921273	-0.4808692	-0.14501242	0.76044565	0.5931656	0.16428047	0.20709682
0.12632099	0.42881605	-0.32870367	0.83193487	0.8643505	-0.006219766	-0.48146766	-0.14508718	0.7601597	0.59310323	0.15866461	0.21263023
0.12680131	0.42744228	-0.3298701	0.8321073	0.8643341	-0.006313863	-0.48143914	-0.14527558	0.76000684	0.5926487	0.15275681	0.21868382
0.12678663	0.42595518	-0.33098102	0.8324309	0.8644474	-0.0065296628	-0.4811598	-0.14551613	0.76021194	0.5915605	0.14575486	0.22558784
0.1266892	0.42437592	-0.33236927	0.83269924	0.8644525	-0.006824326	-0.48105085	-0.14583278	0.76093954	0.58974606	0.13830887	0.23246817
0.12599385	0.42320767	-0.33324546	0.833049	0.8644733	-0.0072615193	-0.48091498	-0.14613652	0.7621349	0.58713514	0.1301016	0.23978396
0.124988414	0.42240638	-0.33333293	0.8335721	0.8645575	-0.007228897	-0.4807054	-0.14632931	0.7628919	0.58495283	0.12137482	0.24717249
0.124499515	0.42135167	-0.3347527	0.83361006	0.8644722	-0.0066924766	-0.48094478	-0.14607194	0.7625322	0.5839912	0.112528056	0.2546303
0.12404859	0.42019302	-0.33648044	0.83356667	0.8644021	-0.0060521485	-0.48114607	-0.1458513	0.7615034	0.5835816	0.10346606	0.26237383
0.123117045	0.41961923	-0.33688992	0.8338284	0.86436874	-0.005136025	-0.48128113	-0.14563881	0.75969845	0.5837737	0.094257094	0.27052248
0.12259145	0.41920012	-0.337335	0.8339366	0.8643275	-0.0041380236	-0.48150483	-0.14517516	0.7575489	0.58407813	0.08454869	0.27896965
0.12242305	0.41867483	-0.33914748	0.8334898	0.8643731	-0.0031824792	-0.48157206	-0.14470361	0.75523156	0.5842292	0.07440587	0.28768992
0.12209049	0.4182632	-0.3410602	0.83296466	0.8645028	-0.0020907	-0.481462	-0.14431438	0.7532396	0.58362734	0.06370091	0.29656675
0.12126278	0.41820174	-0.3417016	0.8328535	0.8647544	-0.00097538624	-0.48111877	-0.14396322	0.751335	0.58251506	0.052523185	0.30563608
0.120480984	0.41816217	-0.34271276	0.8325714	0.8650041	0.00045980513	-0.4808704	-0.14329413	0.74876887	0.58180165	0.041218754	0.3148857
0.120012596	0.41777602	-0.3445366	0.83207995	0.86530006	0.0017205402	-0.480507	-0.14271481	0.74535394	0.58165747	0.029826662	0.32439572
0.11932013	0.41756937	-0.3448141	0.83216816	0.8655341	0.0027974453	-0.48026723	-0.14208412	0.7416055	0.5813882	0.018138519	0.33418614
0.11818824	0.41787693	-0.3439746	0.83252275	0.8659217	0.0037671523	-0.47974446	-0.14146453	0.7375127	0.5809667	0.006318496	0.34425703
0.117490046	0.41800898	-0.3436116	0.83270514	0.8663871	0.0045663104	-0.47907007	-0.1408754	0.73375595	0.5794564	-0.0058867508	0.35468015
